# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.55          	p             	-2.201463e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.298946e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.56          	U             	(5.619044e-01 -9.281599e-01 -1.907902e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.518211e+00 8.455384e-01 6.147998e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.56          	p             	-2.161785e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.290160e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.57          	U             	(5.658579e-01 -9.246302e-01 -1.943634e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.538999e+00 8.598209e-01 6.341763e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.57          	p             	-2.112990e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.300595e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.58          	U             	(5.666217e-01 -9.300172e-01 -1.918265e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.531737e+00 8.555118e-01 6.159078e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.58          	p             	-2.174810e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.299077e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.59          	U             	(5.638773e-01 -9.303718e-01 -1.911696e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.507803e+00 8.602142e-01 5.937584e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.59          	p             	-2.204396e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.298416e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.6           	U             	(5.617866e-01 -9.251492e-01 -1.928237e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.534138e+00 8.467176e-01 6.201476e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.6           	p             	-2.117212e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.301178e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.61          	U             	(5.673255e-01 -9.263069e-01 -1.934668e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.539118e+00 8.647757e-01 6.387420e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.61          	p             	-2.122201e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.299650e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.62          	U             	(5.666506e-01 -9.302216e-01 -1.919804e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.516032e+00 8.659598e-01 6.003723e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.62          	p             	-2.197162e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.299972e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.63          	U             	(5.602613e-01 -9.294091e-01 -1.903315e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.519128e+00 8.516366e-01 6.037183e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.63          	p             	-2.178476e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.295730e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.64          	U             	(5.656525e-01 -9.257807e-01 -1.941369e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.540243e+00 8.561223e-01 6.355512e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.64          	p             	-2.097563e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.305743e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.65          	U             	(5.687400e-01 -9.288495e-01 -1.921165e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.533372e+00 8.521199e-01 6.261431e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.65          	p             	-2.156959e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.288771e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.66          	U             	(5.617931e-01 -9.296604e-01 -1.906549e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.508427e+00 8.626050e-01 5.955258e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.66          	p             	-2.197517e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.298322e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.67          	U             	(5.630956e-01 -9.255631e-01 -1.924097e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.529027e+00 8.489503e-01 6.214207e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.67          	p             	-2.128705e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.296285e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.68          	U             	(5.663575e-01 -9.253190e-01 -1.937082e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.542754e+00 8.573789e-01 6.376076e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
