# Region type : patch outlet
# Faces       : 52
# Area        : 1.000000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
2.95          	(2.002568e+00 4.968215e-01 4.203115e-23)
2.96          	(1.999909e+00 -2.690675e-01 1.306336e-23)
2.97          	(1.997786e+00 -6.039732e-01 1.146105e-23)
2.98          	(2.002493e+00 -6.258530e-01 2.052750e-23)
2.99          	(2.001238e+00 1.549317e-02 1.342410e-23)
3             	(1.998248e+00 5.596127e-01 -1.589427e-23)
3.01          	(2.003103e+00 6.655878e-01 5.702521e-23)
3.02          	(1.999769e+00 7.377778e-04 1.508638e-23)
3.03          	(1.999449e+00 -5.192474e-01 1.403419e-23)
3.04          	(1.997217e+00 -6.703522e-01 8.326399e-24)
3.05          	(2.002937e+00 -2.560350e-01 2.367681e-23)
3.06          	(2.000064e+00 4.626931e-01 -1.007196e-23)
3.07          	(1.997014e+00 6.253465e-01 3.074344e-23)
3.08          	(2.001514e+00 3.122414e-01 2.971440e-23)
3.09          	(1.999837e+00 -3.864879e-01 1.394609e-23)
3.1           	(1.997285e+00 -6.545343e-01 8.199378e-24)
3.11          	(2.004311e+00 -5.327788e-01 2.703048e-23)
3.12          	(2.000681e+00 2.009132e-01 4.862827e-24)
3.13          	(1.997379e+00 5.714146e-01 -6.956632e-24)
3.14          	(2.003475e+00 5.872409e-01 5.082308e-23)
3.15          	(2.000035e+00 -1.754449e-01 1.413922e-23)
3.16          	(1.998675e+00 -5.721329e-01 1.372978e-23)
3.17          	(1.999373e+00 -6.569069e-01 1.554684e-23)
3.18          	(2.001535e+00 -8.858573e-02 1.824272e-23)
3.19          	(1.999240e+00 5.395477e-01 -1.485305e-23)
3.2           	(2.001835e+00 6.672379e-01 5.231856e-23)
3.21          	(2.000607e+00 1.113156e-01 1.704603e-23)
3.22          	(1.999780e+00 -4.759034e-01 1.353892e-23)
3.23          	(1.997699e+00 -6.786301e-01 8.488690e-24)
3.24          	(2.002675e+00 -3.766685e-01 2.706076e-23)
3.25          	(2.000460e+00 3.803807e-01 -3.557163e-24)
3.26          	(1.996588e+00 6.020935e-01 1.115057e-23)
3.27          	(2.002084e+00 4.285695e-01 3.835154e-23)
3.28          	(1.999936e+00 -3.206485e-01 1.355772e-23)
3.29          	(1.997696e+00 -6.193501e-01 9.738639e-24)
3.3           	(2.003363e+00 -6.090249e-01 2.362538e-23)
3.31          	(2.001558e+00 8.157656e-02 1.168739e-23)
3.32          	(1.998095e+00 5.676992e-01 -1.449355e-23)
3.33          	(2.003107e+00 6.525155e-01 5.747404e-23)
3.34          	(1.999550e+00 -5.693482e-02 1.542011e-23)
3.35          	(1.999079e+00 -5.370366e-01 1.454661e-23)
3.36          	(1.997222e+00 -6.687069e-01 8.545265e-24)
3.37          	(2.002439e+00 -2.136566e-01 2.300138e-23)
3.38          	(1.999848e+00 4.930454e-01 -1.101938e-23)
3.39          	(1.997836e+00 6.374717e-01 3.632828e-23)
3.4           	(2.001715e+00 2.651008e-01 2.673922e-23)
3.41          	(1.999547e+00 -4.168507e-01 1.351387e-23)
3.42          	(1.997083e+00 -6.614642e-01 7.082951e-24)
3.43          	(2.004339e+00 -4.881368e-01 2.713224e-23)
3.44          	(2.000403e+00 2.542745e-01 3.519106e-24)
3.45          	(1.997410e+00 5.752015e-01 -3.091622e-24)
3.46          	(2.003132e+00 5.523111e-01 4.774400e-23)
3.47          	(2.000003e+00 -2.152620e-01 1.391090e-23)
3.48          	(1.998029e+00 -5.860787e-01 1.252048e-23)
3.49          	(2.000900e+00 -6.457738e-01 1.828752e-23)
3.5           	(2.001771e+00 -4.438773e-02 1.645991e-23)
3.51          	(1.999047e+00 5.522335e-01 -1.544897e-23)
3.52          	(2.002840e+00 6.666047e-01 5.586222e-23)
3.53          	(2.000348e+00 6.768333e-02 1.668499e-23)
3.54          	(1.999725e+00 -4.988807e-01 1.483448e-23)
3.55          	(1.997271e+00 -6.785669e-01 7.827039e-24)
3.56          	(2.003014e+00 -3.281804e-01 2.541932e-23)
3.57          	(2.000074e+00 4.186057e-01 -6.298783e-24)
3.58          	(1.996350e+00 6.081091e-01 2.013369e-23)
3.59          	(2.001903e+00 3.906457e-01 3.498838e-23)
3.6           	(1.999881e+00 -3.455461e-01 1.406866e-23)
3.61          	(1.997403e+00 -6.288940e-01 8.518591e-24)
3.62          	(2.003856e+00 -5.868211e-01 2.479389e-23)
3.63          	(2.000842e+00 1.147826e-01 9.240729e-24)
3.64          	(1.997618e+00 5.686623e-01 -1.307082e-23)
3.65          	(2.003027e+00 6.351330e-01 5.564628e-23)
3.66          	(1.999695e+00 -1.071682e-01 1.442431e-23)
3.67          	(1.998748e+00 -5.520130e-01 1.354001e-23)
3.68          	(1.997873e+00 -6.566088e-01 1.080443e-23)
3.69          	(2.002478e+00 -1.676547e-01 2.129743e-23)
3.7           	(1.999402e+00 5.046926e-01 -1.175137e-23)
3.71          	(1.999593e+00 6.510403e-01 4.445618e-23)
3.72          	(2.001503e+00 2.126352e-01 2.273375e-23)
3.73          	(2.000043e+00 -4.375565e-01 1.406324e-23)
3.74          	(1.997421e+00 -6.719201e-01 7.858027e-24)
3.75          	(2.003744e+00 -4.544540e-01 2.704202e-23)
3.76          	(2.000244e+00 2.972592e-01 5.688814e-25)
3.77          	(1.997173e+00 5.864935e-01 2.762578e-24)
3.78          	(2.003017e+00 5.107998e-01 4.424188e-23)
3.79          	(1.999702e+00 -2.598692e-01 1.360353e-23)
3.8           	(1.997733e+00 -5.926784e-01 1.180941e-23)
3.81          	(2.001866e+00 -6.379562e-01 1.952713e-23)
3.82          	(2.001671e+00 9.064158e-03 1.399158e-23)
3.83          	(1.998157e+00 5.541989e-01 -1.558071e-23)
3.84          	(2.002987e+00 6.699618e-01 5.720517e-23)
3.85          	(2.000698e+00 1.374741e-02 1.599207e-23)
3.86          	(1.999416e+00 -5.171776e-01 1.493523e-23)
3.87          	(1.997164e+00 -6.757794e-01 7.111216e-24)
3.88          	(2.003018e+00 -2.716527e-01 2.396104e-23)
3.89          	(2.000104e+00 4.540533e-01 -9.100154e-24)
3.9           	(1.996768e+00 6.218586e-01 2.962153e-23)
3.91          	(2.002232e+00 3.254353e-01 3.000777e-23)
3.92          	(1.999812e+00 -3.774394e-01 1.328977e-23)
3.93          	(1.997355e+00 -6.474548e-01 9.409834e-24)
3.94          	(2.004510e+00 -5.527632e-01 2.700411e-23)
3.95          	(2.001582e+00 1.872085e-01 6.776785e-24)
