# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.56          	U             	(-1.561670e+00 -5.518245e-01 -2.855656e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.919545e+00 2.218118e+00 4.602488e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.56          	p             	-8.444198e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.789968e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.57          	U             	(4.762632e-01 -8.241864e-01 -2.077238e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.968862e+00 2.319796e+00 6.781786e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.57          	p             	-9.270059e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.078569e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.58          	U             	(5.263094e-01 -8.025497e-01 -2.167457e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.990497e+00 2.215023e+00 4.287135e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.58          	p             	-7.468587e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.356491e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.59          	U             	(4.984017e-01 -1.110386e+00 -1.902043e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.785376e+00 2.148808e+00 2.735084e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.59          	p             	-8.529068e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.250980e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.6           	U             	(-1.642113e+00 -8.775843e-01 -5.137618e-18)	(1.404205e-01 2.281677e-02 -1.025000e-02)	0	(2.671234e+00 2.061853e+00 2.545957e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.6           	p             	-9.491336e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.064160e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.61          	U             	(-1.724876e-01 -1.151990e+00 -2.907423e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.707671e+00 2.007357e+00 3.257300e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.61          	p             	-8.155909e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.218392e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.62          	U             	(-1.493985e+00 -5.069631e-01 -2.953859e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.872769e+00 2.162470e+00 3.272378e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.62          	p             	-7.750363e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	5.062824e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.63          	U             	(4.788358e-01 -8.453083e-01 -2.236315e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.029216e+00 2.255497e+00 6.282156e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.63          	p             	-9.276494e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.322096e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.64          	U             	(4.984104e-01 -8.146523e-01 -2.037486e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.993119e+00 2.292567e+00 5.974640e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.64          	p             	-8.382344e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.045072e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.65          	U             	(4.991757e-01 -9.458323e-01 -2.099486e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.907276e+00 2.144636e+00 2.748792e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.65          	p             	-7.720419e+00	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	4.461578e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.66          	U             	(5.935061e-01 -1.189524e+00 -1.802571e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.691188e+00 2.075376e+00 2.411831e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.66          	p             	-9.334358e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.139673e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.67          	U             	(-1.762286e-01 -1.100122e+00 -3.383781e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.670988e+00 2.011362e+00 3.022584e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.67          	p             	-9.028868e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.054310e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.68          	U             	(-1.344740e+00 -4.702766e-01 -3.580837e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.787810e+00 2.096384e+00 2.888594e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
